spec,phase,slot,rank_index,item_id,item_name,section,url
fury_warrior,p3,head,1,32235,Cursed Vision of Sargeras,Best in Slot Head Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,shoulder,1,30979,Onslaught Shoulderblades,Best in Slot Shoulder Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,back,1,32323,Shadowmoon Destroyer's Drape,Best in Slot Back Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,chest,1,30975,Onslaught Breastplate,Best in Slot Chest Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,wrist,1,30863,Deadly Cuffs,Best in Slot Wrist Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,hands,1,32278,Grips of Silent Justice,Best in Slot Hand Armor for Fury  Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,waist,1,30106,Belt of One-Hundred Deaths,Best in Slot Waist Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,legs,1,32341,Leggings of Divine Retribution,Best in Slot Leg Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,feet,1,32345,Dreadboots of the Legion,Best in Slot Feet Armor for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
fury_warrior,p3,neck,1,32260,Choker of Endless Nightmares,Best in Slot Neck Jewelry for Fury Warrior in TBC Classic Phase 3,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
